season,celebrity_name,avg_judge,avg_fan,placement,corr_judge_placement,corr_fan_placement
1,Evander Holyfield,5.0,0.1571428571428571,5,-0.8027592420868325,-0.8798244662159231
1,Joey McIntyre,7.033333333333333,0.2523809523809523,3,-0.8027592420868325,-0.8798244662159231
1,John O'Hurley,8.055555555555555,0.24999999999999997,2,-0.8027592420868325,-0.8798244662159231
1,Kelly Monaco,7.111111111111111,0.33095238095238094,1,-0.8027592420868325,-0.8798244662159231
1,Rachel Hunter,7.916666666666667,0.15357142857142853,4,-0.8027592420868325,-0.8798244662159231
1,Trista Sutter,6.166666666666666,0.0833333333333333,6,-0.8027592420868325,-0.8798244662159231
2,Drew Lachey,9.145825,0.15077561327561323,1,-0.8027592420868325,-0.8798244662159231
2,George Hamilton,7.222222222222222,0.1697330447330447,5,-0.8027592420868325,-0.8798244662159231
2,Giselle Fernandez,7.666666666666667,0.057070707070707,8,-0.8027592420868325,-0.8798244662159231
2,Jerry Rice,7.506941666666666,0.22683080808080805,2,-0.8027592420868325,-0.8798244662159231
2,Kenny Mayne,4.333333333333333,0.0181818181818181,10,-0.8027592420868325,-0.8798244662159231
2,Lisa Rinna,8.023809523809524,0.16601731601731598,4,-0.8027592420868325,-0.8798244662159231
2,Master P,4.166666666666667,0.15993867243867244,7,-0.8027592420868325,-0.8798244662159231
2,Stacy Keibler,9.173604166666667,0.15680014430014427,3,-0.8027592420868325,-0.8798244662159231
2,Tatum O'Neal,6.666666666666667,0.04747474747474745,9,-0.8027592420868325,-0.8798244662159231
2,Tia Carrere,7.666666666666667,0.12402597402597397,6,-0.8027592420868325,-0.8798244662159231
3,Emmitt Smith,8.588886666666667,0.22684075385018102,1,-0.8027592420868325,-0.8798244662159231
3,Harry Hamlin,6.666666666666667,0.07085346215780997,9,-0.8027592420868325,-0.8798244662159231
3,Jerry Springer,6.809523809523809,0.12284182040742166,5,-0.8027592420868325,-0.8798244662159231
3,Joey Lawrence,8.62962962962963,0.1951099924849268,3,-0.8027592420868325,-0.8798244662159231
3,Mario Lopez,8.955553333333333,0.22836863397791377,2,-0.8027592420868325,-0.8798244662159231
3,Monique Coleman,8.3125,0.1344332040420311,4,-0.8027592420868325,-0.8798244662159231
3,Sara Evans,7.0,0.0987750172532781,6,-0.8027592420868325,-0.8798244662159231
3,Shanna Moakler,6.666666666666666,0.05,10,-0.8027592420868325,-0.8798244662159231
3,Tucker Carlson,4.0,0.0,11,-0.8027592420868325,-0.8798244662159231
3,Vivica A. Fox,8.083333333333332,0.08269927536231883,8,-0.8027592420868325,-0.8798244662159231
3,Willa Ford,8.133333333333335,0.12386504799548277,7,-0.8027592420868325,-0.8798244662159231
4,Apolo Anton Ohno,8.961106666666668,0.1806503502303868,1,-0.8027592420868325,-0.8798244662159231
4,Billy Ray Cyrus,6.333333333333333,0.11990694226530264,5,-0.8027592420868325,-0.8798244662159231
4,Clyde Drexler,5.2,0.09417523958411296,8,-0.8027592420868325,-0.8798244662159231
4,Heather Mills,7.388888888888889,0.09297589763808232,7,-0.8027592420868325,-0.8798244662159231
4,Ian Ziering,8.092592592592592,0.1431024513348368,4,-0.8027592420868325,-0.8798244662159231
4,Joey Fatone,8.922216666666667,0.18091247672336455,2,-0.8027592420868325,-0.8798244662159231
4,John Ratzenberger,6.357142857142857,0.10598598547856485,6,-0.8027592420868325,-0.8798244662159231
