season,week,scheme,judge_std,judge_iqr,fan_share_width_mean,fan_rank_std_mean
1,1,rank,0.9047201327032127,0.666666666666667,,
1,2,rank,1.4819906532418803,1.916666666666666,,0.4780574529875719
1,3,rank,1.6566364853052236,1.0,,0.7142022272188876
1,4,rank,0.9813067629253162,1.5000000000000009,,0.3535533905932738
1,5,rank,0.7876359377087682,0.75,,0.7182335127930838
1,6,rank,0.1178511301977575,0.08333333333333393,,
2,1,rank,1.3810892105173393,1.5000000000000009,,0.5652037446580657
2,2,rank,1.4120294474598705,1.333333333333333,,0.5512356540095524
2,3,rank,1.509230856356236,1.666666666666667,,0.44637639201180473
2,4,rank,2.2596061837895793,1.166666666666666,,0.6096919129726439
2,5,rank,0.9756289519340086,1.083333333333334,,0.7113072318014179
2,6,rank,1.169045194450012,2.333333333333333,,0.5736689435850864
2,7,rank,1.1221672153735642,0.8333333333333321,,0.3535533905932738
2,8,rank,0.4206368879229229,0.3888666666666669,,
3,1,percent,1.391169844179184,1.833333333333333,0.125,
3,2,percent,0.9686442096757052,1.0,0.10400000000000001,
3,3,percent,0.912870929175277,1.0000000000000009,0.115,
3,4,percent,1.0196482431125646,1.2500000000000009,0.128,
3,5,percent,0.48795003647426655,0.8333333333333321,0.07857142857142858,
3,6,percent,1.2156388352540315,0.666666666666667,,
3,7,percent,0.7728015412913085,0.5,0.229,
3,8,percent,0.2886751345948127,0.16666666666666607,0.256,
3,9,percent,0.0,0.0,0.333,
3,10,percent,0.0,0.0,,
4,1,percent,1.12636000847281,1.5,,
4,2,percent,0.8955558062009323,1.0,0.096,
4,3,percent,0.8577892918052792,1.0,0.10300000000000001,
4,4,percent,1.5495917423312617,2.666666666666667,0.138,
4,5,percent,1.9354668031334836,2.666666666666667,0.176,
4,6,percent,1.181873680570558,1.833333333333334,0.15,
4,7,percent,1.3934369977385659,1.75,0.187,
4,8,percent,1.3197221929886103,1.333333333333333,0.248,
4,9,percent,0.15957118462605657,0.20833333333333215,0.255,
4,10,percent,0.16972623817761873,0.1666666666666643,,
5,1,percent,0.979159950546492,1.166666666666667,0.10400000000000001,
5,2,percent,1.1281521496355322,0.8333333333333339,0.093,
5,3,percent,1.0937533068733076,1.7499999999999991,0.124,
5,4,percent,0.7817359599705717,0.3333333333333339,0.123,
5,5,percent,0.9990074439241545,1.3333333333333321,0.14400000000000002,
5,6,percent,0.9371802805793976,1.1666666666666679,0.146,
5,7,percent,0.23570226039551576,0.2500000000000018,0.17300000000000001,
5,8,percent,0.6078194176270159,1.0,0.20600000000000002,
5,9,percent,0.3191423692521125,0.41666666666666785,0.252,
5,10,percent,0.9958535436349919,0.8888666666666669,,
6,1,percent,1.2880570286640687,1.666666666666667,,
6,2,percent,1.4031590141018297,2.0,0.03626297016861219,
6,3,percent,0.8720629720154927,1.25,0.107,
6,4,percent,1.1180339887498947,1.333333333333334,0.137,
6,5,percent,0.9428090415820632,1.416666666666666,0.14200000000000002,
6,6,percent,0.9946949227868761,1.1666666666666679,0.169,
6,7,percent,0.5244044240850755,0.4166666666666661,0.168,
6,8,percent,0.45030853620354294,0.5,0.201,
6,9,percent,0.3600411499115482,0.3333333333333339,0.263,
6,10,percent,0.6735753140545637,0.6666666666666679,,
7,1,percent,1.0566233914943353,1.0,0.024064824064824072,
7,2,percent,1.0269106361049412,1.333333333333334,0.02727272727272726,
7,3,percent,1.1235415786753717,1.0,,
7,4,percent,0.8678055195451836,0.666666666666667,0.133,
7,5,percent,1.0974356834753822,1.833333333333334,0.137,
7,6,percent,1.339272486707165,1.166666666666666,0.191,
7,7,percent,1.0488088481701516,0.8333333333333339,0.17,
7,8,percent,0.5527707983925664,1.0,0.211,
7,9,percent,0.7861650943380504,0.4583333333333339,0.271,
7,10,percent,0.48112522432468846,0.4166666666666661,,
8,1,percent,1.1416736851740097,1.333333333333333,,
8,2,percent,1.258588727124784,1.666666666666667,0.085,
8,3,percent,1.8522895105723702,2.916666666666666,0.10300000000000001,
8,4,percent,1.9720265943665387,2.833333333333335,0.041038484013690625,
8,5,percent,1.1547005383792512,1.666666666666666,0.117,
8,6,percent,1.4556948921555022,1.75,0.163,
8,7,percent,0.9026709338484401,0.8333333333333357,0.17,
8,8,percent,0.5868938953886336,0.5,0.169,
8,9,percent,0.7601169500660921,0.6666666666666679,0.20500000000000002,
8,10,percent,0.8319432851039966,0.625,0.28,
8,11,percent,0.25458753860865785,0.25,,
9,1,percent,1.7758557667491737,3.4166583333333325,0.0180330034199994,
9,2,percent,1.0294799948658837,0.666666666666667,0.081,
9,3,percent,1.2898905627291268,1.333333333333333,0.022510435301132982,
9,4,percent,1.5275252316519468,2.4999999999999982,0.111,
9,5,percent,0.8285045281025443,1.083333333333334,0.109,
9,6,percent,1.7033084185591776,2.999933333333333,0.04804642821932112,
9,7,percent,0.6833236545965731,0.75,0.08571428571428576,
9,8,percent,0.6302556800396347,0.33333333333333215,0.209,
9,9,percent,0.608582648682804,0.6111583333333339,0.246,
9,10,percent,0.6721019863086254,0.6295999999999999,,
10,1,percent,1.1254628677422756,1.333333333333334,,
10,2,percent,1.4907119849998598,1.666666666666667,0.09,
10,3,percent,1.2673487442318996,0.833333333333333,0.135,
10,4,percent,1.2212748853878115,1.833333333333333,0.133,
10,5,percent,1.5729610132505982,2.0,0.163,
10,6,percent,1.3801378279074752,2.0000166666666654,0.166,
10,7,percent,0.3234650361779921,0.4166666666666661,0.169,
10,8,percent,1.0903618155864085,1.333333333333334,0.23,
10,9,percent,0.5527707983925672,0.6666666666666661,0.269,
10,10,percent,0.3533331399370542,0.3148333333333344,,
11,1,percent,1.12329181951286,2.166666666666666,0.1,
11,2,percent,1.1000459127241053,1.166666666666667,0.127,
11,3,percent,0.8812168915065933,1.333333333333333,0.11800000000000001,
11,4,percent,1.473793710542479,2.0,0.14400000000000002,
11,5,percent,0.9718253158075502,1.166666666666667,0.134,
11,6,percent,1.4123403597384134,0.8333333333333357,0.131,
11,7,percent,0.4011701633970303,0.59375,0.167,
11,8,percent,0.8416254115301733,1.5,0.218,
11,9,percent,0.4906533814626578,0.4166666666666661,0.25,
11,10,percent,0.7286178361192582,0.7222333333333317,,
12,1,percent,1.133511572436949,1.166666666666666,,
12,2,percent,0.833636308559971,1.5,0.10300000000000001,
12,3,percent,0.9711899281516515,0.916666666666667,0.129,
12,4,percent,0.806991058129664,1.0000000000000009,0.12,
12,5,percent,0.7292091824339786,1.333333333333333,0.136,
12,6,percent,0.7382232351894279,1.0,0.163,
12,7,percent,0.3572172541558802,0.65625,0.171,
12,8,percent,0.5892556509887894,0.3333333333333339,0.2,
